eclit1,eclit2,eclit3,finlit1,finlit2,finlit3,cb,policy,certainty,workstatus,occupation,sector,income,education,leftright,age,gender,region
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Meno di 102 euro,Meno di prima,Vera,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Non so,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Non so,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Non so,Non so,Non so,Non so,Non so,Non so,-200,Sì,1 (Poco sicuro),Occupato,impiegati,Non so,"Tra i 10,000 e i 15,000",Post-Laurea,1,31,Femmina,Puglia
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Esattamente 102 euro,Esattamente come prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,,Non so,Non so,Non so,160,Sì,6,In cerca di lavoro,,,"Meno di 3,000",Diploma,5,32,Femmina,Puglia
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Non so,Non so,Non so,Esattamente 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,-200,No,7,Occupato,Consulente,"Direttori, funzioni dirigenti nell'amministrazione (es.: banchiere - direttore di grande azienda - consigliere di stato - dirigente sindacale)","Tra i 50,000 e i 75,000",Post-Laurea,4,52,Maschio,Abruzzo
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Non so,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Non so,Meno di prima,Non so,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,160,No,7,Occupato,commercialista,"Professioni intellettuali, libere e scientifiche (es.: dottore - insegnante - ingegnere - artista - espero contabile - commercialista)","Tra i 20,000 e i 30,000",Post-Laurea,2,47,Maschio,Puglia
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni future,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Non so,Non so,Vera,-240,Sì,4,Altro inattivo,,,"Tra i 20,000 e i 30,000",Laurea,1,30,Femmina,Campania
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Non so,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Esattamente 102 euro,Esattamente come prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni future,Non so,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Esattamente 102 euro,Meno di prima,Non so,-200,No,6,Occupato,Addetto al locandinaggio,Lavoratore semi qualificato (es.: muratore - autista di autobus - operaio industria conserviera - carpentiere - lattoniere - panettiere),"Meno di 3,000",Laurea,1,52,Maschio,Puglia
Solo per pagare le pensioni attuali,,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",,Meno di prima,Non so,,,,,,,,,,,,
Solo per pagare le pensioni future,Il costo di produzione dei prodotti scenderà,Non so,Meno di 102 euro,Meno di prima,Non so,100,Sì,9,Occupato,ragioniera,Settore impiegatizio (es.: segretario - impiegato d'ufficio - capo servizio - contabile),"Tra i 10,000 e i 15,000",Laurea,8,28,Femmina,Abruzzo
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Esattamente 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Non so,Non so,Meno di 102 euro,Meno di prima,Non so,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Esattamente 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,-240,No,10 (Molto sicuro),Occupato,impiegato,,"Tra i 40,000 e i 50,000",Post-Laurea,10 (destra),73,Maschio,Abruzzo
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni future,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Falsa,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Esattamente 102 euro,Esattamente come prima,Non so,100,Sì,2,Occupato,Consulente,"Direttori, funzioni dirigenti nell'amministrazione (es.: banchiere - direttore di grande azienda - consigliere di stato - dirigente sindacale)","Meno di 3,000",Laurea,6,40,Maschio,Calabria
